x-axis,MATH
Hertz,dBV
+36.400E+03,-56.25781E+00
+36.500E+03,-56.29688E+00
+36.600E+03,-56.37500E+00
+36.700E+03,-56.45313E+00
+36.800E+03,-56.49219E+00
+36.900E+03,-56.57031E+00
+37.000E+03,-56.68750E+00
+37.100E+03,-56.72656E+00
+37.200E+03,-56.76563E+00
+37.300E+03,-56.88281E+00
+37.400E+03,-57.00000E+00
+37.500E+03,-57.19531E+00
+37.600E+03,-57.39063E+00
+37.700E+03,-57.70313E+00
+37.800E+03,-58.13281E+00
+37.900E+03,-58.67969E+00
+38.000E+03,-59.38281E+00
+38.100E+03,-60.47656E+00
+38.200E+03,-61.64844E+00
+38.300E+03,-62.85938E+00
+38.400E+03,-64.22656E+00
+38.500E+03,-65.75000E+00
+38.600E+03,-67.62500E+00
+38.700E+03,-69.18750E+00
+38.800E+03,-70.39844E+00
+38.900E+03,-71.29688E+00
+39.000E+03,-71.29688E+00
+39.100E+03,-69.73438E+00
+39.200E+03,-68.01563E+00
+39.300E+03,-66.10156E+00
+39.400E+03,-63.99219E+00
+39.500E+03,-62.35156E+00
+39.600E+03,-61.68750E+00
+39.700E+03,-61.14063E+00
+39.800E+03,-60.78906E+00
+39.900E+03,-60.63281E+00
+40.000E+03,-60.51563E+00
+40.100E+03,-60.43750E+00
+40.200E+03,-60.35938E+00
+40.300E+03,-60.35938E+00
+40.400E+03,-60.43750E+00
+40.500E+03,-60.43750E+00
+40.600E+03,-60.43750E+00
+40.700E+03,-60.43750E+00
+40.800E+03,-60.47656E+00
+40.900E+03,-60.51563E+00
+41.000E+03,-60.51563E+00
+41.100E+03,-60.55469E+00
+41.200E+03,-60.67188E+00
+41.300E+03,-60.82813E+00
+41.400E+03,-61.06250E+00
+41.500E+03,-61.29688E+00
+41.600E+03,-61.68750E+00
+41.700E+03,-62.27344E+00
+41.800E+03,-63.13281E+00
+41.900E+03,-64.34375E+00
+42.000E+03,-67.23438E+00
+42.100E+03,-69.73438E+00
+42.200E+03,-71.88281E+00
+42.300E+03,-73.64063E+00
+42.400E+03,-74.30469E+00
+42.500E+03,-71.96094E+00
+42.600E+03,-69.26563E+00
+42.700E+03,-66.21875E+00
+42.800E+03,-62.85938E+00
+42.900E+03,-59.96875E+00
+43.000E+03,-58.52344E+00
+43.100E+03,-57.35156E+00
+43.200E+03,-56.41406E+00
+43.300E+03,-55.75000E+00
+43.400E+03,-55.16406E+00
+43.500E+03,-54.50000E+00
+43.600E+03,-53.99219E+00
+43.700E+03,-53.56250E+00
+43.800E+03,-53.21094E+00
+43.900E+03,-52.97656E+00
+44.000E+03,-52.78125E+00
+44.100E+03,-52.70313E+00
+44.200E+03,-52.74219E+00
+44.300E+03,-52.89844E+00
+44.400E+03,-53.28906E+00
+44.500E+03,-53.79688E+00
+44.600E+03,-54.34375E+00
+44.700E+03,-54.96875E+00
+44.800E+03,-55.63281E+00
+44.900E+03,-56.53125E+00
+45.000E+03,-57.27344E+00
+45.100E+03,-57.82031E+00
+45.200E+03,-58.25000E+00
+45.300E+03,-58.44531E+00
+45.400E+03,-57.62500E+00
+45.500E+03,-56.68750E+00
+45.600E+03,-55.59375E+00
+45.700E+03,-54.34375E+00
+45.800E+03,-53.05469E+00
+45.900E+03,-52.23438E+00
+46.000E+03,-51.53125E+00
+46.100E+03,-50.86719E+00
+46.200E+03,-50.32031E+00
+46.300E+03,-49.81250E+00
+46.400E+03,-49.46094E+00
+46.500E+03,-49.14844E+00
+46.600E+03,-48.87500E+00
+46.700E+03,-48.67969E+00
+46.800E+03,-48.56250E+00
+46.900E+03,-48.40625E+00
+47.000E+03,-48.32813E+00
+47.100E+03,-48.25000E+00
+47.200E+03,-48.21094E+00
+47.300E+03,-48.13281E+00
+47.400E+03,-48.09375E+00
+47.500E+03,-48.05469E+00
+47.600E+03,-48.09375E+00
+47.700E+03,-48.13281E+00
+47.800E+03,-48.25000E+00
+47.900E+03,-48.40625E+00
+48.000E+03,-48.67969E+00
+48.100E+03,-49.03125E+00
+48.200E+03,-49.46094E+00
+48.300E+03,-49.96875E+00
+48.400E+03,-50.59375E+00
+48.500E+03,-51.37500E+00
